,barbero,edited_transcription,path
0,1,Buongiorno buonasera Bentornata. E bentornati ad una nuova puntata del podcast di Alessandro Barbero la storia come non l'avete mai sentita la raccolta indipendente senza scopo di lucro delle elezioni conferenze del professor Barbero.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/000.flac
1,1,"Oggi ascoltiamo un episodio Barbero riserva uno dei grandi classici del Podcast per la serie Come scoppia una guerra dal festival della mente 2014 la Prima Guerra Mondiale, dopo la conferenza vi do un aggiornamento sulla scaletta festiva del podcast podcast. Buonasera dunque.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/001.flac
2,1,"Scoppiano le guerre qualche mese fa, quando abbiamo cominciato a pensare che cosa poteva venire a raccontare.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/002.flac
3,1,C'era già un po' il clima che in fondo c'è ancora anche adesso.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/003.flac
4,1,Notizie dall'ucraina c'era una notizia dall'iraq. Diciamo che Papa Francesco non aveva ancora detto la terza guerra mondiale è già scoppiata.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/004.flac
5,1,"E invece adesso poco tempo fa l'ha detto. E insomma è sempre più attuale. Evidentemente chiedersi com'è. Ecco devo ripetere la prima parte. No? Tanto era solo un modo per entrare in argomento, va bene lo stesso?",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/005.flac
6,1,Come scoppiano le guerre?,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/006.flac
7,1,"In realtà quello che vi racconterò. Io credo che sia anche abbastanza rassicurante. Nel senso che mostra che le guerre scoppiano in situazioni le grandi guerre mondiali scoppiano in situazioni abbastanza diverse da quella che stiamo vivendo adesso. Oggi stiamo vivendo una situazione internazionale disastrosa piena di sofferenza piena di incertezze, ma insomma abbastanza diversa dagli scenari che si aspettavano nell'Europa.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/007.flac
8,1,Per esempio nell'Europa del 1914 da cui cominciamo stasera.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/008.flac
9,1,Come scoppia la Prima Guerra Mondiale? Beh in fondo lo sappiamo tutti comincia con un attentato l'attentato di Sarajevo il 28 giugno del 1914 un gruppo di terroristi serbi uccide l'arciduca Francesco Ferdinando che erede al trono dell'impero austriaco.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/009.flac
10,1,Allora la prima cosa importante da dire sullo scoppio della prima guerra mondiale e che è nata da un atto di terrorismo.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/010.flac
11,1,È il terrorismo anche Allora come oggi provocava delle reazioni viscerali nell'opinione pubblica e quindi anche nei governi.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/011.flac
12,1,un atto di terrorismo a noi oggi può sembrare che ammazzare un Arciduca tutto sommato sia forse una cosa un po' meno grave che non,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/012.flac
13,1,Che so abbattere due grattacieli con tremila persone dentro.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/013.flac
14,1,E invece una prima cosa che dobbiamo avere ben chiara per capire come era fatta la gente del 1914 è che per loro almeno per i politici di Allora ammazzare un Arciduca.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/014.flac
15,1,Erede al trono dell'impero è una cosa molto più grave che non abbattere due grattacieli se mai loro avessero potuto immaginarselo.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/015.flac
16,1,"Provate a pensare l'impero austro-ungarico è una grande potenza e ancora una grande potenza indebolita in crisi, ma è una delle poche grandi potenze mondiali.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/016.flac
17,1,nell'Impero austro-ungarico governa l'imperatore Francesco Giuseppe,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/017.flac
18,1,"L'imperatore Francesco Giuseppe ha 84 anni il che vuol dire che morirà prestissimo nessuno sa quando ma è sicuro che morirà prestissimo Francesco Giuseppe regna da tempo immemorabile sull'impero austriaco regna da 66 anni morirà prestissimo, questo lo sanno tutti in effetti, poi morirà nel dicembre del 16 un anno e mezzo, dopo questo lo sappiamo noi e quando morirà Francesco Giuseppe l'arciduca Francesco Ferdinando diventerà il sovrano di una delle grandi potenze mondiali per tutta la vita. Voi capite che ammazzarlo cambia un po' gli scenari, non è come ammazzare un presidente degli Stati Uniti che tanto dopo quattro anni se ne fa un altro altro. Qui si ammazza uno che per tutta la vita avrebbe contribuito governare il mondo.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/018.flac
19,1,Quindi l'attentato è gravissimo è un atto di terrorismo di una gravità enorme e ha complicità all'estero.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/019.flac
20,1,Qui Dobbiamo ricordarci com'è io Passerò tutta la serata a dirvi. Dobbiamo ricordarci questa cosa mi scuserete è una non è così semplice come scoppia una guerra c'è tutta una serie di collegamenti il primo la prima messa a fuoco Sarajevo perché Sarajevo Sarajevo in Bosnia.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/020.flac
21,1,"È la Bosnia. E allora come anche nel nostro tempo un luogo delicato anche Allora la Bosnia. È un luogo dove c'è una mescolanza etnica etnie, ostili la boschi da qualche anno è stata occupata dall'Austria, Ungheria e alcuni degli abitanti sono contenti la popolazione croata è contenta, per esempio.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/021.flac
